gene,log2FoldChange,pvalue,padj
H2-T24,0.253185111,0.007703536,0.011897422
Zfta,-0.059403982,0.007713067,0.011911073
Cyfip1,0.042433835,0.007740099,0.011951747
Rpa1,0.03134817,0.007770568,0.011997718
Rsph4a,0.163771035,0.007811118,0.012059245
Atp8a2,-0.102658778,0.007812212,0.012059852
Vps37d,-0.074099663,0.007824217,0.012077303
1700084E18Rik,0.199098345,0.007833996,0.012091312
Gm38190,-0.282822011,0.007840472,0.012100223
Rbm28,0.044186235,0.007842924,0.012102922
Prep,-0.06332582,0.007855109,0.012120639
Dgkb,0.087442217,0.007871053,0.012144152
Zfp541,-0.189593555,0.007876634,0.012151673
Pdzd7,-0.109823467,0.007879016,0.012154259
Ube2r2,0.049305362,0.007881478,0.012156969
Adamts4,-0.096466276,0.007895501,0.012177506
Lsr,0.139116214,0.007897763,0.012179905
Apba3,-0.077213677,0.007908107,0.012194764
Iars2,0.033233949,0.007914233,0.012203117
Ldha-ps2,-0.143383863,0.007918804,0.012209072
Ndufa1,-0.073170557,0.007924741,0.012216037
Sh3bp5,-0.072467434,0.007924587,0.012216037
Kif1b,-0.071553176,0.007925707,0.012216433
Stat5b,0.068317906,0.007960168,0.012268451
Ubtd2,0.065407667,0.007966079,0.012276462
Gdi2,0.043318907,0.007971929,0.012284378
Zfp595,0.105293329,0.007980802,0.01229695
Gm5454,-0.104528337,0.007982494,0.012298457
2310026L22Rik,0.189899886,0.007998013,0.012321264
Bpgm,0.041225705,0.00801303,0.012343294
Ehmt1,-0.037233736,0.008045951,0.012392896
Cfap276,0.16255771,0.008062562,0.012416381
Ktn1,0.046021772,0.008062641,0.012416381
Gpn2,0.075553281,0.008065792,0.012420122
Gm15867,0.201707502,0.008073382,0.012430697
Ryr1,-0.155592703,0.008082853,0.012444167
Srp9,-0.057021489,0.00812602,0.012509508
Acp1,0.052688929,0.0081556,0.012553922
Gm2423,-0.135984136,0.008160929,0.012561001
