gene,log2FoldChange,pvalue,padj
Zbtb41,-0.146088257,1.30E-08,3.79E-08
Pid1,-0.119868154,1.32E-08,3.85E-08
Mmd2,-0.119519449,1.29E-08,3.77E-08
Arpp21,0.159899787,1.29E-08,3.75E-08
Lipe,0.172825595,1.97E-08,5.65E-08
Zbtb34,-0.174021123,1.65E-08,4.77E-08
C79130,-0.288389048,3.34E-08,9.36E-08
Capza2,-0.136523583,1.32E-08,3.86E-08
Gas8,0.126479884,1.66E-08,4.79E-08
Kif6,0.227319975,2.62E-08,7.40E-08
Pla2g3,0.446387749,3.01E-08,8.46E-08
Ythdf2,-0.097151291,1.34E-08,3.89E-08
Camkmt,-0.12371468,1.85E-08,5.31E-08
Brca2,0.216590502,2.09E-08,5.95E-08
Als2,-0.158335501,1.34E-08,3.90E-08
Wdr19,0.151123846,1.44E-08,4.19E-08
Adamts13,0.381287294,3.52E-08,9.84E-08
5930403N24Rik,0.435924927,4.00E-08,1.11E-07
Marf1,-0.150564563,1.35E-08,3.94E-08
Mrpl50,-0.09348257,1.40E-08,4.07E-08
Gm7335,-0.180963753,2.34E-08,6.64E-08
Zfp780b,-0.124653508,1.62E-08,4.67E-08
A230006K03Rik,-0.334680113,2.90E-08,8.17E-08
Naa35,-0.069283842,1.39E-08,4.05E-08
1190005I06Rik,0.359502993,3.90E-08,1.08E-07
Gad1-ps,-0.212320284,2.85E-08,8.03E-08
Arhgdig,-0.174884229,1.45E-08,4.22E-08
Nfkb1,0.130777282,1.63E-08,4.72E-08
Nell2,-0.175569959,1.44E-08,4.19E-08
Bckdha,0.132790627,1.85E-08,5.32E-08
Cstf3,-0.120865544,1.46E-08,4.22E-08
Tspan7,-0.108762447,1.46E-08,4.23E-08
Zfp707,0.133752968,2.04E-08,5.84E-08
Syt5,0.156494412,1.40E-08,4.07E-08
Osr1,0.52524589,2.90E-08,8.17E-08
Pcdhb5,0.200882481,2.32E-08,6.59E-08
Gem,0.470742354,2.53E-08,7.17E-08
Gt(ROSA)26Sor,-0.237972905,1.98E-08,5.68E-08
Skida1,-0.168090347,1.62E-08,4.68E-08
Hcn1,-0.189906908,1.42E-08,4.12E-08
Pigu,-0.07602221,1.58E-08,4.58E-08
Gm5441,-0.300803607,3.04E-08,8.53E-08
Elavl1,-0.122266788,1.43E-08,4.15E-08
Rhobtb3,0.170548694,1.46E-08,4.25E-08
Pcgf2,0.178648314,1.92E-08,5.51E-08
Ncbp1,-0.092931131,1.45E-08,4.20E-08
Gm10250,-0.136953369,1.56E-08,4.51E-08
Zcwpw1,0.167389328,2.72E-08,7.67E-08
Aven,-0.151627892,2.20E-08,6.26E-08
Adgrl2,-0.20785552,1.51E-08,4.37E-08
Ppp1r3c,0.231983024,1.47E-08,4.25E-08
Gm3375,-0.147262246,1.53E-08,4.42E-08
Zfp109,-0.328982357,2.35E-08,6.68E-08
Tmem255a,0.253600397,1.51E-08,4.38E-08
Pls1,0.201582614,1.87E-08,5.38E-08
Doc2b,-0.214629552,1.50E-08,4.34E-08
Pcdh15,0.228013317,2.04E-08,5.82E-08
Cdh24,-0.517813722,1.76E-08,5.07E-08
Zfp28,0.155073798,2.18E-08,6.20E-08
Fam149a,-0.128003868,1.74E-08,5.00E-08
Fndc9,0.708754121,3.14E-08,8.80E-08
Mtx3,-0.139114228,1.57E-08,4.54E-08
Chchd3,-0.085493793,1.57E-08,4.54E-08
Cers2,0.127817065,1.59E-08,4.61E-08
Top1mt,0.145183459,1.95E-08,5.58E-08
Lcp2,0.243421906,2.74E-08,7.74E-08
Rnf10,-0.088538293,1.61E-08,4.66E-08
1700101I11Rik,0.289483992,4.12E-08,1.14E-07
Lias,0.111381959,1.74E-08,5.00E-08
Pnrc1,-0.128101363,1.69E-08,4.87E-08
Ms4a6b,0.49051214,4.16E-08,1.15E-07
Chrna1,0.273224462,3.81E-08,1.06E-07
Fsd1l,-0.189768864,1.68E-08,4.86E-08
Tlr12,0.710756745,4.64E-08,1.28E-07
Il7,-0.5574915,5.35E-08,1.47E-07
Slc2a1,-0.196497627,1.69E-08,4.88E-08
Csmd2,0.256393371,1.78E-08,5.11E-08
Aldh1a1,0.307367717,1.90E-08,5.46E-08
Tlr7,0.37610967,2.90E-08,8.17E-08
Ushbp1,0.229422151,3.32E-08,9.31E-08
Gapvd1,-0.105935709,1.73E-08,4.98E-08
Seh1l,0.094658475,1.78E-08,5.12E-08
Arhgef37,0.361740026,3.63E-08,1.01E-07
Tsc1,-0.132246689,1.75E-08,5.02E-08
4833438C02Rik,0.339326191,4.97E-08,1.37E-07
Tiam1,0.213403773,1.75E-08,5.03E-08
Polr1g,-0.121326623,2.08E-08,5.93E-08
D130043K22Rik,-0.191294294,1.88E-08,5.39E-08
Fam91a1,-0.118714195,1.78E-08,5.12E-08
Galnt7,-0.13382542,2.16E-08,6.15E-08
Gm43205,0.32898318,4.93E-08,1.36E-07
Mill2,0.922880087,4.50E-08,1.25E-07
Tlr1,1.323745834,4.98E-08,1.37E-07
Zfp64,0.124539598,2.29E-08,6.50E-08
Il1rapl2,-0.368019119,3.99E-08,1.11E-07
Scrn2,0.246754991,3.51E-08,9.81E-08
Disp1,0.185269939,3.05E-08,8.57E-08
Gm43681,-0.235989297,3.70E-08,1.03E-07
mt-Ty,-0.300001749,4.61E-08,1.27E-07
Trnp1,0.22899649,1.84E-08,5.28E-08
Myo3b,0.244489397,4.16E-08,1.15E-07
Fmnl2,0.131818244,1.85E-08,5.31E-08
Dpy30,-0.118709184,2.20E-08,6.26E-08
Ubap1,-0.063444768,1.90E-08,5.46E-08
Ndufa4,-0.137595545,1.86E-08,5.35E-08
Ube2v2,-0.139834377,1.89E-08,5.42E-08
Daxx,-0.112621241,2.15E-08,6.13E-08
Atg9a,-0.120853826,1.89E-08,5.42E-08
Wdr48,-0.082748688,1.90E-08,5.46E-08
Pnpt1,-0.133217826,2.20E-08,6.25E-08
Pign,0.132517325,2.03E-08,5.80E-08
Ap1m1,0.099131776,1.93E-08,5.54E-08
Adam17,0.147854023,2.13E-08,6.08E-08
Gle1,-0.10131268,1.95E-08,5.58E-08
Usp38,-0.099399828,2.01E-08,5.74E-08
